"Redeem id","Creator id","Sender id","Diamonds earned from this gifter (so far)","Gifter spend coins on this creator (so far)","Gifter total purchased coins (so far)","Share","Flag","Suspicious diamonds","Sum of suspicious diamonds","Sum of diamonds earned from this gifter (so far)","Fraud ratio","Is fraudulent"
"5141546","2849035497","2849035497","41","59","100","0.59000000000000000000",0,"0","0","71","0.00000000000000000000",False
"5141546","2849035497","2919884717","30","48","200","0.24000000000000000000",0,"0","0","71","0.00000000000000000000",False
"5143088","2917612983","2918222099","976","1396","51000","0.02737254901960784314",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2919829173","69","99","100","0.99000000000000000000",1,"69","1028","4766","0.21569450272765421737",False
"5143088","2917612983","1315177784","597","858","82500","0.01040000000000000000",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2905068375","632","900","1100","0.81818181818181818182",1,"632","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2562080414","84","123","100","1.2300000000000000",1,"84","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2747034091","510","729","15000","0.04860000000000000000",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2501556331","69","99","18300","0.00540983606557377049",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2708094834","419","599","7500","0.07986666666666666667",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2833911789","149","215","540","0.39814814814814814815",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2842293051","438","632","10370","0.06094503375120540019",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2692514750","243","348","360","0.96666666666666666667",1,"243","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2854549191","5","8","650","0.01230769230769230769",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2538005486","27","39","4350","0.00896551724137931034",0,"0","1028","4766","0.21569450272765421737",False
"5143088","2917612983","2645400326","548","793","2900","0.27344827586206896552",0,"0","1028","4766","0.21569450272765421737",False
"5141828","2807471589","2700363862","210","302","14850","0.02033670033670033670",0,"0","0","352","0.00000000000000000000",False
"5141828","2807471589","2597352434","40","64","240","0.26666666666666666667",0,"0","0","352","0.00000000000000000000",False
"5141828","2807471589","2769458693","102","128","2400","0.05333333333333333333",0,"0","0","352","0.00000000000000000000",False
"5143526","2919978761","2815780627","173","248","6600","0.03757575757575757576",0,"0","139","2763","0.05030763662685486790",False
"5143526","2919978761","2693530672","2292","3276","31000","0.10567741935483870968",0,"0","139","2763","0.05030763662685486790",False
"5143526","2919978761","725192292","10","16","500","0.03200000000000000000",0,"0","139","2763","0.05030763662685486790",False
"5143526","2919978761","2775795469","139","199","1050","0.18952380952380952381",0,"0","139","2763","0.05030763662685486790",False
"5143526","2919978761","2596832222","139","199","200","0.99500000000000000000",1,"139","139","2763","0.05030763662685486790",False
"5143526","2919978761","2919978553","5","8","200","0.04000000000000000000",0,"0","139","2763","0.05030763662685486790",False
"5143526","2919978761","2596324946","5","8","4200","0.00190476190476190476",0,"0","139","2763","0.05030763662685486790",False
"5138444","2795799471","2842392833","150","198","8660","0.02286374133949191686",0,"0","5111","5436","0.94021339220014716703",True
"5138444","2795799471","2812202187","140","203","500","0.40600000000000000000",0,"0","5111","5436","0.94021339220014716703",True
"5138444","2795799471","2904774163","35","56","1050","0.05333333333333333333",0,"0","5111","5436","0.94021339220014716703",True
"5138444","2795799471","2797720675","5111","6430","2900","2.2172413793103448",1,"5111","5111","5436","0.94021339220014716703",True
"5137922","2818026383","2673200748","5168","7385","22500","0.32822222222222222222",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2746024987","1871","2675","5610","0.47682709447415329768",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2598133542","55","79","120","0.65833333333333333333",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2525557638","55","79","10400","0.00759615384615384615",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2718373274","6369","9102","15000","0.60680000000000000000",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2534114364","44","65","575","0.11304347826086956522",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2694600800","469","673","3350","0.20089552238805970149",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2916407535","60","87","3470","0.02507204610951008646",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2842923195","60","87","2000","0.04350000000000000000",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","2915403113","56","83","400","0.20750000000000000000",0,"0","0","14262","0.000000000000000000000000",False
"5137922","2818026383","144853507","55","79","1150","0.06869565217391304348",0,"0","0","14262","0.000000000000000000000000",False
"5137872","2808259087","2522797137","5067","7245","2500","2.8980000000000000",1,"5067","5067","5247","0.96569468267581475129",True
"5137872","2808259087","2660376886","139","199","3200","0.06218750000000000000",0,"0","5067","5247","0.96569468267581475129",True
"5137872","2808259087","2824359107","41","59","1840","0.03206521739130434783",0,"0","5067","5247","0.96569468267581475129",True
"5145710","2891671159","2779024197","219","315","1920","0.16406250000000000000",0,"0","0","219","0.00000000000000000000",False
"5142432","2755790489","2731080400","19331","27034","59200","0.45665540540540540541",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2801398777","1679","2399","350599","0.00684257513569633684",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2538695906","513","735","157637","0.00466261093524997304",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2693384644","55","79","7150","0.01104895104895104895",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2509902997","35","50","116500","0.00042918454935622318",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2916286811","5","8","100","0.08000000000000000000",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2535058852","69","99","90000","0.00110000000000000000",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2541392736","629","901","4710","0.19129511677282377919",0,"0","0","22710","0.000000000000000000000000",False
"5142432","2755790489","2779651679","394","568","2685","0.21154562383612662942",0,"0","0","22710","0.000000000000000000000000",False
"5137586","2919340461","2505694645","240","299","600","0.49833333333333333333",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2781800533","240","299","2800","0.10678571428571428571",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2528334282","69","99","600","0.16500000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2811273099","333","477","3500","0.13628571428571428571",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","48223429","2148","3029","15000","0.20193333333333333333",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2766676581","69","99","6500","0.01523076923076923077",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","90330439","69","99","200","0.49500000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2781826943","69","99","400","0.24750000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2652670820","69","99","120","0.82500000000000000000",1,"69","69","4579","0.01506879231273203756",False
"5137586","2919340461","2903051129","138","198","1200","0.16500000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2919278831","69","99","300","0.33000000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2574129596","110","158","11000","0.01436363636363636364",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2805377549","69","99","200","0.49500000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2312608176","69","99","200","0.49500000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2526466810","209","299","3600","0.08305555555555555556",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2729916184","69","99","2050","0.04829268292682926829",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2532410982","347","497","4350","0.11425287356321839080",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2849424899","69","99","900","0.11000000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5137586","2919340461","2552484196","124","178","500","0.35600000000000000000",0,"0","69","4579","0.01506879231273203756",False
"5143902","2513635403","2498943137","1709","2442","20737","0.11776052466605584221",0,"0","0","1709","0.00000000000000000000",False
"5139476","2529894850","2919539013","56","83","100","0.83000000000000000000",1,"56","56","56","1.00000000000000000000",True
"5137704","2805939013","173077388","325","466","2500","0.18640000000000000000",0,"0","769","5885","0.13067119796091758709",False
"5137704","2805939013","2917769925","17","25","9190","0.00272034820457018498",0,"0","769","5885","0.13067119796091758709",False
"5137704","2805939013","2619931948","55","79","1500","0.05266666666666666667",0,"0","769","5885","0.13067119796091758709",False
"5137704","2805939013","2691092124","4719","6754","8800","0.76750000000000000000",0,"0","769","5885","0.13067119796091758709",False
"5137704","2805939013","2793779263","769","1099","1200","0.91583333333333333333",1,"769","769","5885","0.13067119796091758709",False
"5143572","2797419869","2806018067","5","8","200","0.04000000000000000000",0,"0","3116","3121","0.99839794937520025633",True
"5143572","2797419869","2732929518","3116","4454","2900","1.5358620689655172",1,"3116","3116","3121","0.99839794937520025633",True
"5139978","2573583724","2537780398","2168","3098","4620","0.67056277056277056277",0,"0","0","2321","0.00000000000000000000",False
"5139978","2573583724","2909811123","5","8","25000","0.00032000000000000000",0,"0","0","2321","0.00000000000000000000",False
"5139978","2573583724","2663681618","74","107","900","0.11888888888888888889",0,"0","0","2321","0.00000000000000000000",False
"5139978","2573583724","2918547123","74","107","2225","0.04808988764044943820",0,"0","0","2321","0.00000000000000000000",False
"5139098","2764353309","2879564729","1583","2264","15500","0.14606451612903225806",0,"0","0","1790","0.00000000000000000000",False
"5139098","2764353309","2604561910","207","297","8912","0.03332585278276481149",0,"0","0","1790","0.00000000000000000000",False
"5144508","2835939191","173077388","264","378","58500","0.00646153846153846154",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2815437191","69","99","4400","0.02250000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2916721177","69","99","150","0.66000000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2708979206","55","79","3600","0.02194444444444444444",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2834335789","907","1300","4536","0.28659611992945326279",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2612132686","69","99","100","0.99000000000000000000",1,"69","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2896169917","69","99","100","0.99000000000000000000",1,"69","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2570501378","124","178","7500","0.02373333333333333333",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2867609075","179","257","2800","0.09178571428571428571",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2771280409","1878","2695","6550","0.41145038167938931298",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2665318196","69","99","1000","0.09900000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2807256807","347","497","1350","0.36814814814814814815",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2849285281","5","8","2100","0.00380952380952380952",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2920144691","120","174","400","0.43500000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2564621802","276","396","920","0.43043478260869565217",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2610599996","69","99","200","0.49500000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2541986838","69","99","345","0.28695652173913043478",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2525599574","69","99","400","0.24750000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2621059756","1959","2578","2400","1.0741666666666667",1,"1959","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2790074281","69","99","100","0.99000000000000000000",1,"69","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2727913530","394","558","775","0.72000000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2605772540","101","146","345","0.42318840579710144928",0,"0","2166","7299","0.29675297986025482943",False
"5144508","2835939191","2726202118","69","99","500","0.19800000000000000000",0,"0","2166","7299","0.29675297986025482943",False
"5144188","2846410845","2899285809","69","99","500","0.19800000000000000000",0,"0","0","69","0.00000000000000000000",False
"5142096","2548149118","2521892211","418","598","2800","0.21357142857142857143",0,"0","349","1733","0.20138488170802077323",False
"5142096","2548149118","2706042826","966","1393","2700","0.51592592592592592593",0,"0","349","1733","0.20138488170802077323",False
"5142096","2548149118","2581092238","349","499","500","0.99800000000000000000",1,"349","349","1733","0.20138488170802077323",False
"5140784","2728176056","2578084206","138","198","240","0.82500000000000000000",1,"138","138","138","1.00000000000000000000",True
"5139812","2533024450","2743387991","276","396","19969","0.01983073764334718814",0,"0","0","2016","0.00000000000000000000",False
"5139812","2533024450","2551851328","1391","1991","5350","0.37214953271028037383",0,"0","0","2016","0.00000000000000000000",False
"5139812","2533024450","2667846972","349","499","675","0.73925925925925925926",0,"0","0","2016","0.00000000000000000000",False
"5138282","2757929155","2768752319","69","99","5250","0.01885714285714285714",0,"0","0","143","0.00000000000000000000",False
"5138282","2757929155","2609725718","69","99","1949","0.05079527963057978450",0,"0","0","143","0.00000000000000000000",False
"5138282","2757929155","2732787448","5","8","1800","0.00444444444444444444",0,"0","0","143","0.00000000000000000000",False
"5144436","2757929155","178364646","69","99","600","0.16500000000000000000",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2768752319","69","99","5250","0.01885714285714285714",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2609725718","69","99","1949","0.05079527963057978450",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2839687649","209","299","6240","0.04791666666666666667",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2715641374","69","99","1900","0.05210526315789473684",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2834242287","69","99","20187","0.00490414623272403032",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2747033001","69","99","390","0.25384615384615384615",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2537065886","103","148","9600","0.01541666666666666667",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2661922286","698","998","4370","0.22837528604118993135",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2655244822","69","99","13000","0.00761538461538461538",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2313401418","96","138","5170","0.02669245647969052224",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2805133863","10041","14353","8600","1.6689534883720930",1,"10041","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2611933980","240","345","5272","0.06544006069802731411",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2844377229","138","198","2800","0.07071428571428571429",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2847362171","80","116","1075","0.10790697674418604651",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2916286811","5","8","100","0.08000000000000000000",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2865996709","488","698","21460","0.03252562907735321528",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2768467411","472","676","21620","0.03126734505087881591",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2705665642","138","198","2760","0.07173913043478260870",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2841081141","5","8","700","0.01142857142857142857",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2773383307","760","1090","1450","0.75172413793103448276",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2732787448","5","8","1800","0.00444444444444444444",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","147502691","380","551","545","1.0110091743119266",1,"380","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2785856857","124","178","1400","0.12714285714285714286",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2654173284","74","107","2050","0.05219512195121951220",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2525366954","1614","2328","5200","0.44769230769230769231",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2680971110","74","107","2700","0.03962962962962962963",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2118571074","349","499","1100","0.45363636363636363636",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2620864500","149","218","345","0.63188405797101449275",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2804511147","84","123","1625","0.07569230769230769231",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2832767731","69","99","200","0.49500000000000000000",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2687831842","69","99","600","0.16500000000000000000",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2899671681","5","8","8400","0.00095238095238095238",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2919230815","69","99","2100","0.04714285714285714286",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2858652945","69","99","9150","0.01081967213114754098",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2791152237","69","99","100","0.99000000000000000000",1,"69","10490","17159","0.61134098723701847427",False
"5140002","2681159574","2644592854","69","99","1150","0.08608695652173913043",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2573155598","69","99","480","0.20625000000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2544160528","459","657","2300","0.28565217391304347826",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2630417354","3567","5097","6500","0.78415384615384615385",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","214842986","1011","1446","550","2.6290909090909091",1,"1011","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2856885243","69","99","2900","0.03413793103448275862",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2743917519","69","99","1200","0.08250000000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2779024197","69","99","1920","0.05156250000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2220021996","69","99","1200","0.08250000000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2833147127","278","398","1440","0.27638888888888888889",0,"0","1011","5729","0.17647058823529411765",False
"5145932","2859444663","2575090932","5","8","720","0.01111111111111111111",0,"0","0","5","0.00000000000000000000",False
"5145154","2730290786","2657099892","382","565","20500","0.02756097560975609756",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2539615542","10","16","270","0.05925925925925925926",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2791883831","74","107","200","0.53500000000000000000",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2683369028","69","99","100","0.99000000000000000000",1,"69","138","1390","0.09928057553956834532",False
"5145154","2730290786","2768925245","69","99","700","0.14142857142857142857",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2918033667","10","16","4150","0.00385542168674698795",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2678710664","79","115","545","0.21100917431192660550",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2725286810","69","99","345","0.28695652173913043478",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2732921726","69","99","2890","0.03425605536332179931",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2827908995","69","99","1420","0.06971830985915492958",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2747857427","84","123","575","0.21391304347826086957",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2863213585","84","123","480","0.25625000000000000000",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2615174042","84","123","1750","0.07028571428571428571",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2691603978","10","16","575","0.02782608695652173913",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2836632871","74","107","1200","0.08916666666666666667",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2646141290","10","16","1200","0.01333333333333333333",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2793035845","69","99","120","0.82500000000000000000",1,"69","138","1390","0.09928057553956834532",False
"5145154","2730290786","2757343283","35","50","575","0.08695652173913043478",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2720389712","10","16","445","0.03595505617977528090",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2587784242","15","24","345","0.06956521739130434783",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2892632061","15","24","1400","0.01714285714285714286",0,"0","138","1390","0.09928057553956834532",False
